age,income,is_farmer,is_woman,is_student,caste,district,scheme
45,25000,1,0,0,BC,Karimnagar,Rythu Bandhu
20,0,0,1,1,SC,Hyderabad,Fee Reimbursement
70,10000,0,0,0,BC,Nizamabad,Aasara Pension
25,0,0,1,1,OC,Hyderabad,KCR Kit
50,15000,0,0,0,SC,Warangal,Disabled Pension
18,0,0,0,1,BC,Medak,Fee Reimbursement
60,8000,0,0,0,ST,Adilabad,Aasara Pension
30,30000,1,0,0,OC,Nalgonda,Rythu Bandhu
22,0,0,1,1,BC,Hyderabad,KCR Kit
40,12000,0,0,0,SC,Warangal,Disabled Pension
55,5000,0,0,0,ST,Khammam,Aasara Pension
28,0,0,1,1,SC,Hyderabad,Fee Reimbursement
35,20000,1,0,0,BC,Karimnagar,Rythu Bandhu
24,0,0,1,1,ST,Hyderabad,KCR Kit
65,9000,0,0,0,OC,Nizamabad,Aasara Pension
48,18000,0,0,0,SC,Warangal,Disabled Pension
19,0,0,0,1,OC,Medak,Fee Reimbursement
32,25000,1,0,0,BC,Nalgonda,Rythu Bandhu
72,7000,0,0,0,ST,Adilabad,Aasara Pension
27,0,0,1,1,BC,Hyderabad,KCR Kit